date,value,close,position,returns,cummax,drawdown
2022-02-28,109655.49742154837,1567.3857699999999,-58,0.004601605081966609,125430.4732187955,-0.1257666928333272
2022-03-01,105706.85742154837,1635.4657699999998,-58,-0.03600950333406683,125430.4732187955,-0.1572474000224977
2022-03-02,106495.65742154836,1621.8657699999999,-58,0.007462145968963219,125430.4732187955,-0.1509586571057423
2022-03-03,109098.69742154836,1576.9857699999998,-58,0.024442686800798308,125430.4732187955,-0.1302058054804488
2022-03-04,110229.69742154835,1557.48577,-58,0.010366759885591437,125430.4732187955,-0.12118885791598322
2022-03-07,114492.69742154836,1483.9857699999998,-58,0.038673788459176794,125430.4732187955,-0.08720190171145847
2022-03-08,111950.47742154836,1530.1857699999998,-79,-0.02220421089949387,125430.4732187955,-0.10746986319451424
2022-03-09,109898.05742154836,1556.1657699999998,-79,-0.018333284924472726,125430.4732187955,-0.12383287249624786
2022-03-10,108693.30742154836,1571.4157699999998,-79,-0.010962432169103864,125430.4732187955,-0.1334377952003062
2022-03-11,110701.48742154837,1545.9957699999998,-79,0.01847565455167932,125430.4732187955,-0.11742749125688556
2022-03-14,116153.27742154838,1476.9857699999998,-79,0.04924766709989847,125430.4732187955,-0.07396285415478243
2022-03-15,123816.27742154838,1379.9857699999998,-79,0.06597317071122433,125430.4732187955,-0.01286924744700102
2022-03-16,118132.22742154836,1451.9357699999998,-79,-0.04590713045464889,125430.4732187955,-0.058185587680247286
2022-03-17,114561.42742154836,1497.1357699999999,-79,-0.030227145275588563,125430.4732187955,-0.08665394874407939
2022-03-18,115537.86742154838,1484.7757699999997,-79,0.00852328765429089,125430.4732187955,-0.07886923762131459
2022-03-21,115813.57742154838,1481.2857699999997,-79,0.0023863171975821995,125430.4732187955,-0.07667112744182836
2022-03-22,116548.27742154838,1471.9857699999998,-79,0.006343815780128992,125430.4732187955,-0.07081369916984526
2022-03-23,112030.26742154837,1529.1757699999998,-79,-0.03876513750313637,125430.4732187955,-0.10683373388755679
2022-03-24,114499.80742154836,1497.9157699999998,-79,0.0220435071417584,125430.4732187955,-0.0871452169217296
2022-03-25,116943.27742154838,1466.9857699999998,-79,0.021340385237540227,125430.4732187955,-0.06766454418490808
2022-03-28,119250.07742154838,1437.7857699999997,-79,0.019725802550279337,125430.4732187955,-0.049273479072874826
